Name,Wiki Summary
Haleh Esfandiari,"Haleh Esfandiari (Persian: هاله اسفندیاری) (born March 3, 1940) is an Iranian-American academic and former Director of the Middle East Program at the Woodrow Wilson International Center for Scholars in Washington, D.C. Her areas of expertise include Middle Eastern women's issues, contemporary Iranian intellectual currents and politics, and democratic developments in the Middle East. She was detained in solitary confinement at Evin Prison in Tehran, Iran for more than 110 days from May 8 to August 21, 2007."
Nadezhda Mamonova,"Nadezhda Dmitryevna Khvoshchinskaya (Russian: Надежда Дмитриевна Хвощинская; May 20, 1824 – June 8, 1889), was a Russian novelist, poet, literary critic and translator. Her married name was Zayonchkovskaya."
Alexei Mukhin,"Konstantin Nikolaevich Kostin (Russian: Константин Николаевич Костин; born September 17, 1970 in Pushkino, Moscow Oblast) is a Russian politician, deputy head of the internal politics of the presidential administration of Russia.


== Persona ==
In 2008 and 2009 Kostin was ranked second in the top 20 best political strategists in Russia, according to Obschaya Gazeta."
Magomed Tolboev,Magomed Omarovich Tolboyev (Russian: Магомед Омарович Толбоев; born 20 January 1951) is a former high-profile Soviet-era test pilot who initially came to public attention as a test pilot for the Buran space shuttle. He is from Dagestan.
Han Min-goo,"Han Min-goo (born 30 August 1953), is a former South Korean Minister of Defense. He is a former South Korean army general who served as the 40th Chief of Staff of the South Korean army as well as the 36th Chairman of the Joint Chiefs of Staff of the South Korean military."
U.S. Geological,"The United States Geological Survey, abbreviated USGS and formerly simply known as the Geological Survey, is a scientific agency of the United States government. The scientists of the USGS study the landscape of the United States, its natural resources, and the natural hazards that threaten it."
Shanghai News,"Radio and Television Station of Shanghai (RTS), a Shanghai-based state media outlet, and its wholly owned subsidiary, Shanghai Media Group (SMG), represent one of China's largest state-owned media and cultural conglomerates, with the most complete portfolio of media and related businesses. The Oriental Pearl Media Company under SMG was the first cultural and media company in China to realize a market capitalization totaling more than ¥100 billion (US$15B) on the Shanghai Stock Exchange in 2015."
Israel Ziv,Israel Ziv (Hebrew: ישראל זיו; born 1957) is an Israeli retired general who held several prominent posts including the head of the IDF's Operations Directorate. In December 2018 the U.S. Treasury slapped sanctions on Israel Ziv accusing him of using an agricultural consultancy as cover for weapons sales to the South Sudan.
Mike Huckabee,"Michael Dale Huckabee (born August 24, 1955) is an American politician, Baptist minister, political commentator, and bassist who served as the 44th governor of Arkansas from 1996 to 2007. He was a candidate for the Republican Party presidential nomination in both 2008 and 2016."
John Fleming,"Sir John Ambrose Fleming FRS (29 November 1849 – 18 April 1945) was an English electrical engineer and physicist who invented the first thermionic valve or vacuum tube, designed the radio transmitter with which the first transatlantic radio transmission was made, and also established the right-hand rule used in physics.He was the eldest of seven children of James Fleming DD (died 1879), a Congregational minister, and his wife Mary Ann, at Lancaster, Lancashire, and baptised on 11 February 1850. A devout Christian, he once preached at St Martin-in-the-Fields in London on evidence for the resurrection."
Pete Sessions,"Peter Anderson Sessions (born March 22, 1955) is an American politician from Texas who is the U.S. representative for Texas's 17th congressional district. A member of the Republican Party, he has served in the U.S. House of Representatives for 11 terms."
Eric Schultz OLD,"Wesley Keith Schultz (born December 30, 1982) is the guitarist and lead vocalist for the American folk rock band The Lumineers.


== Life and career ==
Schultz grew up in Ramsey, New Jersey, the son of clinical psychologist Dr Michael J. Schultz (died 2007) and homemaker Judy (née Kinyon), and attended Ramsey High School and the University of Richmond."
Diane Black,"Diane Lynn Black (née Warren; January 16, 1951) is an American politician who served as a U.S. Representative for Tennessee's 6th congressional district from January 3, 2011 to January 3, 2019. The district includes several suburban and rural areas east of Nashville."
Bob Casey,"Robert Patrick Casey Jr. (born April 13, 1960) is an American lawyer and politician serving as the senior United States senator from Pennsylvania, a seat he has held since 2007."
Nicholas Burns,"Robert Nicholas Burns (born January 28, 1956) is an American diplomat and academic who is the Senate-confirmed nominee to be the next United States Ambassador to China. Burns is a professor of diplomacy and international politics at the John F. Kennedy School of Government and a member of the Board of Directors of the school's Belfer Center for Science and International Affairs."
Jan Schakowsky,"Janice Danoff Schakowsky ( shə-KOW-skee; born May 26, 1944) is an American politician who has served as the U.S. representative from Illinois's 9th congressional district since 1999. She is a member of the Democratic Party."
Marshall Wittmann,"Marshall Wittmann is an American pundit, author, and political activist. On November 22, 2006, he was hired to be the communications director and spokesman for Senator Joe Lieberman (I-CT)."
Of the nuclear deal Supporters,"The Joint Comprehensive Plan of Action (JCPOA; Persian: برنامه جامع اقدام مشترک, romanized: barnāmeye jāme'e eqdāme moshtarak (برجام, BARJAM)), known commonly as the Iran nuclear deal or Iran deal, is an agreement on the Iranian nuclear program reached in Vienna on 14 July 2015, between Iran and the P5+1 (the five permanent members of the United Nations Security Council—China, France, Russia, United Kingdom, United States—plus Germany) together with the European Union.
Formal negotiations toward JCPOA began with the adoption of the Joint Plan of Action, an interim agreement signed between Iran and the P5+1 countries in November 2013."
Scott Walker,"Noel Scott Engel (January 9, 1943 – March 22, 2019), better known by his stage name Scott Walker, was a British-American singer-songwriter, composer and record producer who resided in England. Walker was known for his emotive baritone voice and his unorthodox stylistic path which took him from being a sophisticated teen pop icon in the 1960s to an avant-garde musician in the 21st century."
Lamar Alexander,"Andrew Lamar Alexander Jr. (born July 3, 1940) is a retired American lawyer and politician who served as a United States Senator from Tennessee from 2003 to 2021."
Alan Grayson,"Alan Mark Grayson (born March 13, 1958) is an American politician who served as the U.S. representative for Florida's 8th congressional district from 2009 to 2011 and Florida's 9th congressional district from 2013 to 2017. A member of the Democratic Party, he was defeated for reelection in 2010 by Republican Daniel Webster; he was then reelected in 2012 for a second, non-consecutive term in the U.S. House of Representatives in another district, defeating Republican Todd Long.In 2016, Grayson decided not to run for reelection to his House seat in order to run for the U.S. Senate."
